Profiling result from test run Test Main V1 exported at Wed Sep 28 15:46:54 CEST 2011;

time stamp [nano secs];event;power rate [mW];avg power rate [mW];avg power rate in interval [mW];
1316359287170501120;;33604;36383,20456078712;34767,51593203727;
1316359287275703040;;33586;36383,20456078712;34767,51593203727;
1316359287381836032;;33655;36383,20456078712;34767,51593203727;
1316359287480844032;;33701;36383,20456078712;34767,51593203727;
1316359287581902080;;33838;36383,20456078712;34767,51593203727;
1316359287589613056;;33751;36383,20456078712;34767,51593203727;
1316359287716165120;;33682;36383,20456078712;34767,51593203727;
1316359287723616000;;33636;36383,20456078712;34767,51593203727;
1316359287826864128;;33686;36383,20456078712;34767,51593203727;
1316359288018623232;;33709;36383,20456078712;34767,51593203727;
1316359288025896960;;33663;36383,20456078712;34767,51593203727;
1316359288129751808;;33709;36383,20456078712;34767,51593203727;
1316359288379913216;;33737;36383,20456078712;34767,51593203727;
1316359288483805952;;33737;36383,20456078712;34767,51593203727;
1316359288490749952;;33944;36383,20456078712;34767,51593203727;
1316359288586873088;;33898;36383,20456078712;34767,51593203727;
1316359289287500032;;33998;36383,20456078712;34767,51593203727;
1316359289430722048;;33998;36383,20456078712;34767,51593203727;
1316359289564986880;;33884;36383,20456078712;34767,51593203727;
1316359289710545920;;33815;36383,20456078712;34767,51593203727;
1316359289838500864;;33975;36383,20456078712;34767,51593203727;
1316359289932699904;;33929;36383,20456078712;34767,51593203727;
1316359290032589824;;34021;36383,20456078712;34767,51593203727;
1316359290158643968;;34021;36383,20456078712;34767,51593203727;
1316359290255687936;;34021;36383,20456078712;34767,51593203727;
1316359290351383040;;34067;36383,20456078712;34767,51593203727;
1316359290358705152;;34003;36383,20456078712;34767,51593203727;
1316359290461804032;;34003;36383,20456078712;34767,51593203727;
1316359290561604864;;34049;36383,20456078712;34767,51593203727;
1316359290659982848;;34044;36383,20456078712;34767,51593203727;
1316359290762063872;;34044;36383,20456078712;34767,51593203727;
1316359290862251008;;34136;36383,20456078712;34767,51593203727;
1316359291008836096;;34136;36383,20456078712;34767,51593203727;
1316359291145953792;;34067;36383,20456078712;34767,51593203727;
1316359291277865984;;33952;36383,20456078712;34767,51593203727;
1316359291410643200;;34067;36383,20456078712;34767,51593203727;
1316359291564783104;;34044;36383,20456078712;34767,51593203727;
1316359291715863040;;34169;36383,20456078712;34767,51593203727;
1316359291846891008;;34146;36383,20456078712;34767,51593203727;
1316359292000211968;;34155;36383,20456078712;34767,51593203727;
1316359292134608896;;34247;36383,20456078712;34767,51593203727;
1316359292270574080;;34155;36383,20456078712;34767,51593203727;
1316359292398614016;;34155;36383,20456078712;34767,51593203727;
1316359292494699008;;34293;36383,20456078712;34767,51593203727;
1316359292623666944;;34228;36383,20456078712;34767,51593203727;
1316359292785860096;;34159;36383,20456078712;34767,51593203727;
1316359292888636160;;34113;36383,20456078712;34767,51593203727;
1316359292988858112;;34063;36383,20456078712;34767,51593203727;
1316359293143636992;;34109;36383,20456078712;34767,51593203727;
1316359293250629888;;34155;36383,20456078712;34767,51593203727;
1316359293356967936;;34132;36383,20456078712;34767,51593203727;
1316359293363169792;;34201;36383,20456078712;34767,51593203727;
1316359293370518016;;34219;36383,20456078712;34767,51593203727;
1316359293468823808;;34173;36383,20456078712;34767,51593203727;
1316359293570575872;;34150;36383,20456078712;34767,51593203727;
1316359293670384896;;34219;36383,20456078712;34767,51593203727;
1316359293769051904;;34242;36383,20456078712;34767,51593203727;
1316359293896614912;;34192;36383,20456078712;34767,51593203727;
1316359294002871040;executed greetAudienceV01 #1;34035;36383,20456078712;34295,36455072156;
1316359294170259968;;34164;36383,20456078712;34295,36455072156;
1316359294308002048;;34192;36383,20456078712;34295,36455072156;
1316359294448666112;;34123;36383,20456078712;34295,36455072156;
1316359294747958016;;34169;36383,20456078712;34295,36455072156;
1316359294855688960;;34192;36383,20456078712;34295,36455072156;
1316359294955909888;;34123;36383,20456078712;34295,36455072156;
1316359295086662144;;34077;36383,20456078712;34295,36455072156;
1316359295211990016;;34077;36383,20456078712;34295,36455072156;
1316359295316605952;;34035;36383,20456078712;34295,36455072156;
1316359295471348992;;34104;36383,20456078712;34295,36455072156;
1316359295610066944;;34012;36383,20456078712;34295,36455072156;
1316359295720827136;;34054;36383,20456078712;34295,36455072156;
1316359295849689088;;34031;36383,20456078712;34295,36455072156;
1316359295985053952;;34004;36383,20456078712;34295,36455072156;
1316359296131809024;;34027;36383,20456078712;34295,36455072156;
1316359296263764992;;34027;36383,20456078712;34295,36455072156;
1316359296395566080;;34031;36383,20456078712;34295,36455072156;
1316359296518720000;;34012;36383,20456078712;34295,36455072156;
1316359296619155968;;34012;36383,20456078712;34295,36455072156;
1316359296724910848;;33990;36383,20456078712;34295,36455072156;
1316359296823400960;;33898;36383,20456078712;34295,36455072156;
1316359296829713152;;33898;36383,20456078712;34295,36455072156;
1316359296974482176;;33916;36383,20456078712;34295,36455072156;
1316359297137512960;;33912;36383,20456078712;34295,36455072156;
1316359297271422976;;33935;36383,20456078712;34295,36455072156;
1316359297430672896;;33866;36383,20456078712;34295,36455072156;
1316359297555736064;;33889;36383,20456078712;34295,36455072156;
1316359297659789056;;33843;36383,20456078712;34295,36455072156;
1316359297763950080;;33953;36383,20456078712;34295,36455072156;
1316359297926355968;;33792;36383,20456078712;34295,36455072156;
1316359298061670912;;33907;36383,20456078712;34295,36455072156;
1316359298178800128;;33770;36383,20456078712;34295,36455072156;
1316359298278695936;;33701;36383,20456078712;34295,36455072156;
1316359298381534976;;33770;36383,20456078712;34295,36455072156;
1316359298485806848;;33861;36383,20456078712;34295,36455072156;
1316359298744622080;;33857;36383,20456078712;34295,36455072156;
1316359298907665920;;33678;36383,20456078712;34295,36455072156;
1316359299049420032;;33770;36383,20456078712;34295,36455072156;
1316359299186445824;;33830;36383,20456078712;34295,36455072156;
1316359299323725056;;33926;36383,20456078712;34295,36455072156;
1316359299582861824;;33926;36383,20456078712;34295,36455072156;
1316359299846676992;;33834;36383,20456078712;34295,36455072156;
1316359300011956992;;33811;36383,20456078712;34295,36455072156;
1316359300142929920;;33719;36383,20456078712;34295,36455072156;
1316359300396955136;;33761;36383,20456078712;34295,36455072156;
1316359300539393792;;33738;36383,20456078712;34295,36455072156;
1316359300681710848;;33742;36383,20456078712;34295,36455072156;
1316359300794863104;;33742;36383,20456078712;34295,36455072156;
1316359301075772160;;33880;36383,20456078712;34295,36455072156;
1316359301174704128;;33765;36383,20456078712;34295,36455072156;
1316359301270369024;;33719;36383,20456078712;34295,36455072156;
1316359301388510976;;33710;36383,20456078712;34295,36455072156;
1316359301535451904;;33687;36383,20456078712;34295,36455072156;
1316359301666017024;;33802;36383,20456078712;34295,36455072156;
1316359301800700928;;33944;36383,20456078712;34295,36455072156;
1316359301898891008;;33990;36383,20456078712;34295,36455072156;
1316359301995748096;;33853;36383,20456078712;34295,36455072156;
1316359302002619904;;33853;36383,20456078712;34295,36455072156;
1316359302127849216;;33898;36383,20456078712;34295,36455072156;
1316359302240547840;;33967;36383,20456078712;34295,36455072156;
1316359302341829888;;33990;36383,20456078712;34295,36455072156;
1316359302484505856;;33990;36383,20456078712;34295,36455072156;
1316359302601531136;;34013;36383,20456078712;34295,36455072156;
1316359302702663936;;34013;36383,20456078712;34295,36455072156;
1316359302802434816;;34041;36383,20456078712;34295,36455072156;
1316359302964695808;;34041;36383,20456078712;34295,36455072156;
1316359303090984192;;34041;36383,20456078712;34295,36455072156;
